,,,,,,,,,
#,Category,Capability, User Story,Required?,Priority,Status,Frontend,Backend,Client comments
,,,,,,New,,,
,Payment Path Configuration,Private Pay Path - Multiple Payers,"As a Provider, I should be able to add single and multiple payers.",,,New,,,
,Payment Path Configuration,Edit Payer details,"As a Provider, I should be able to edit each payer's information",,,New,,,
,Payment Path Configuration,Select Payment Method,"As a Provider, I should be able to select Card, Cash, Money order, Check payment option.",,,New,,,
,Payment Path Configuration,Add Card Details,"As a Provider, I should be able to add card details.",,,New,,,
,Payment Path Configuration,Add Card Details,"As a Provider, I should be able to edit card details.",,,New,,,
,Payment Path Configuration,Configure Payment Split,"As a Provider, I should be able to perform split (Equal Split or Custom Split).",,,New,,,
,Payment Path Configuration,Generate Split Invoices,"As a Provider, I should be able to generate separate invoices for each payer based on split configuration.",,,New,,,
,,,,,,,,,
,Payment Path Configuration,Insurance Path ,"As a Provider, I should be able to add  Insurace details in Insurance tab.",,,New,,,
,Payment Path Configuration,Edit Insurance,"As a Provider, I should be able to edit Insurace details in Insurance tab.",,,New,,,
,,,,,,,,,
,Payment Path Configuration,Insurance + Medicaid Path,"As a Provider, I should be able to add billing details for Insurance + Medicaid payment.",,,New,,,
,Payment Path Configuration,Edit billing details,"As a Provider, I should be able to edit billing details for Insurance + Medicaid payment.",,,New,,,
,Payment Path Configuration,Configure Insurance-Medicaid Split,"As a Provider, I should be able to set billing split for both insurance and Medicaid portions.",,,New,,,
,Payment Path Configuration,Configure Mixed Billing,"As a Provider, I should be able to set mixed billing with insurance as primary and Medicaid as secondary.",,,New,,,
,,,,,,,,,
,Payment Path Configuration,Copay + Insurance Path,"As a Provider, I should be able to add billing details for mixed Copay + Insurance.",,,New,,,
,Payment Path Configuration,Edit Billing Details,"As a Provider, I should be able to edit billing details for mixed Copay + Insurance.",,,New,,,
,,,,,,,,,
,Payment Path Configuration,Medicaid + copay Path,"As a Provider, I should be able to add billing details for mixed Medicaid + copay.",,,New,,,
,Payment Path Configuration,Edit Billing Details,"As a Provider, I should be able to edit billing details for mixed Medicaid + copay.",,,New,,,
,,,,,,,,,
,Payment Path Configuration,Select Payment Method,"As a Provider, I should be able to select Card, Cash, Money order, Check payment option.",,,New,,,
,Payment Path Configuration,Manage Card Details,"As a Provider, I should be able to add card details.",,,New,,,
,,,"As a Provider, I should be able to edit  card details.",,,,,,
,Payment Path Configuration,Configure Payment Split,"As a Provider, I should be able to perform split (Equal Split or Custom Split).",,,New,,,
,,,,,,New,,,
,Service Model & Pricing,Facility Service Model Selection,"As a Provider, I should be able to select facility service model (A La Carte or Blended Rate).",,,New,,,
,Service Model & Pricing,Configure A La Carte Billing,"As a Provider, I should be able to configure A La Carte model to track individual services (Room, Board, Laundry, Transport).",,,New,,,
,Service Model & Pricing,Configure Blended Rate Billing,"As a Provider, I should be able to configure Blended Rate model with single bundle price and no individual service tracking.",,,New,,,
,Service Model & Pricing,View Service Model Details,"As a Provider, I should be able to view service model description and billing implications before selection.",,,New,,,
,Service Model & Pricing,Rate Card Generation,"As a Provider, I should be able to generate rate card showing pricing for Private room or Semi-private room.",,,New,,,
,Service Model & Pricing,View Rate Card,"As a Provider, I should be able to view rate card interface with all applicable charges and services.",Yes,,New,,,
,Service Model & Pricing,Edit Rate Card,"As a Provider, I should be able to edit rate card",,,New,,,
,Service Model & Pricing,Apply Rate Card Discount,"As a Provider, I should be able to apply discount to rate card if applicable.",,,New,,,
,Service Model & Pricing,Send Rate Card and Welcome Email,"As a Provider, I should be able to send rate card and welcome email together to lead/family.",,,New,,,
,,,,,,,,,
,Room Assignment & Management,Record Security Deposit,"As a Provider, I should be able to collect deposit through multiple payment methods.",,,New,,,
